"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"p3","beta","NSEC",1.3,100,100,-0.549156960942282,0.0211242615610555,-42.2428431494063,0.588005591788762,0.42,0.0493558507170123,1.19242541837394,4,2,17,0.0282221160540261,"none"
"p3","censored","NSEC",1.3,100,100,0.030951821468459,0.0144983925645443,2.38090934372761,0.147540335369089,1,0,0.933821811818418,4,2,17,0.0282221160540261,"none"
"p3","deleted","NSEC",1.3,100,100,-0.0276856142719593,0.0204951916629952,-2.12966263630456,0.205795355843138,1,0,1.02559285842596,4,2,17,0.0282221160540261,"none"
"p3","floored","NSEC",1.3,100,100,-0.612067085059806,0.00941455804246183,-47.0820834661389,0.619193728185259,0.03,0.017058722109232,0.748042642807566,4,2,17,0.0282221160540261,"none"
"p3","gamma","NSEC",1.3,100,100,-0.816663710922879,0.025973531479668,-62.8202854556061,0.856578908305202,0.25,0.0433012701892219,1.05326578795394,4,2,17,0.0282221160540261,"none"
"p3","measured","NSEC",1.3,100,100,0.0739743739311474,0.0132344116348198,5.6903364562421,0.151036497175917,0.8,0.04,0.504482846139585,4,2,17,0.0282221160540261,"none"
"p4","beta","NSEC",1.3,100,100,-0.555305763325259,0.0140113389791998,-42.7158279480969,0.572538151708044,0.2,0.04,0.942498269114039,4,2,73,0.0186365299331132,"none"
"p4","censored","NSEC",1.3,100,100,0.0312392603317391,0.00664215880025607,2.40302002551839,0.0730999347833379,0.97,0.017058722109232,0.530429464132104,4,2,73,0.0186365299331132,"none"
"p4","deleted","NSEC",1.3,100,100,0.00868792524442186,0.0120769846787314,0.668301941878604,0.120478140669391,0.98,0.014,0.614646941265772,4,2,73,0.0186365299331132,"none"
"p4","floored","NSEC",1.3,100,100,-0.687330931750354,0.00327261992615525,-52.8716101346426,0.688101812101767,0,0,0.554087225724605,4,2,73,0.0186365299331132,"none"
"p4","gamma","NSEC",1.3,100,100,-0.930631368078397,0.0255044724384029,-71.5870283137229,0.964609805347859,0.04,0.0195959179422654,0.547810179995559,4,2,73,0.0186365299331132,"none"
"p4","measured","NSEC",1.3,100,100,0.0419787946541912,0.00577109718128506,3.2291380503224,0.0711299508331515,0.88,0.0324961536185438,0.29294573239557,4,2,73,0.0186365299331132,"none"
